Code commune,Nom commune,Code région,Code département,Logements,Établissements,Meilleure estimation des locaux à date,Zones très denses,Engagements L. 33-13 et AMEL,Intentions privées hors engagement L. 33-13,Commune rurale,Commune de montagne,T4 2017prop,T1 2018prop,T2 2018prop,T3 2018prop,T4 2018prop,T1 2019prop,T2 2019prop,T3 2019prop,T4 2019prop,T1 2020prop,T2 2020prop,T3 2020prop,Indicateur_AMEL_AMII
02424,Leury,32,02,50.24,4,54,NA,NA,NA,1,NA,0,96.3,96.3,96.3,96.3,96.3,96.3,96.3,96.3,96.3,96.3,92.59,0
02425,Leuze,32,02,78.6,5,84,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
02426,Levergies,32,02,246,11,269,NA,NA,NA,1,NA,0,0,0,0,99.26,99.26,99.26,99.63,99.63,99.63,99.63,100,0
02427,Lhuys,32,02,66.56,2,69,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
02428,Licy-Clignon,32,02,38.38,1,39,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
02429,Lierval,32,02,50,2,64,NA,FRTE (AMII),NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
02430,Liesse-Notre-Dame,32,02,609,31,640,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,20.94,21.09,21.09,21.41,0
02431,Liez,32,02,203,3,207,NA,NA,NA,1,NA,0,0,0,0,0,0,100,100,100,100,100,100,0
02432,Limé,32,02,96,1,110,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,100,100,100,0
02433,Lislet,32,02,113,10,131,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,100,100,100,100,0
02434,Lizy,32,02,117.63,5,123,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,1.63,0
02435,Logny-lès-Aubenton,32,02,41,1,42,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
02438,Longpont,32,02,141,13,307,NA,NA,NA,1,NA,0,0,0,0,0,0,0,48.86,49.51,51.79,51.79,52.12,0
02439,Les Septvallons,32,02,507,28,562,NA,NA,NA,1,NA,0,0,0,0,0,50.71,50.71,99.11,99.29,99.47,99.47,100.36,0
02440,Lor,32,02,67,4,76,NA,NA,NA,1,NA,0,0,0,100,100,100,100,100,100,100,100,100,0
02441,Louâtre,32,02,125,4,302,NA,NA,NA,1,NA,0,0,0,0,0,0,0,54.3,54.3,54.64,54.64,54.64,0
02442,Loupeigne,32,02,54.16,3,57,NA,NA,NA,1,NA,0,0,0,0,89.47,92.98,92.98,92.98,92.98,92.98,92.98,92.98,0
02443,Lucy-le-Bocage,32,02,92.56,4,97,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
02444,Lugny,32,02,53.78,4,58,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
02445,Luzoir,32,02,143.24,4,147,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,97.96,97.96,97.96,97.96,0
02446,Ly-Fontaine,32,02,45,NA,49,NA,NA,NA,1,NA,0,0,0,0,0,97.96,97.96,97.96,97.96,100,100,100,0
02447,Maast-et-Violaine,32,02,71,5,83,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,98.8,100,100,100,0
02448,Mâchecourt,32,02,55.57,4,60,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
02449,Macogny,32,02,31,2,33,NA,NA,NA,1,NA,0,0,0,0,84.85,84.85,93.94,93.94,96.97,96.97,96.97,96.97,0
02450,Macquigny,32,02,181,14,195,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,96.92,0
02451,Magny-la-Fosse,32,02,55.82,5,61,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
02452,Maissemy,32,02,104,3,110,NA,NA,NA,1,NA,0,0,100,100,100,100,100,100,100,100,100,100,0
02453,Maizy,32,02,205,10,215,NA,NA,NA,1,NA,0,0,0,0,0,13.49,13.49,13.49,13.49,13.49,13.49,13.49,0
02454,La Malmaison,32,02,185.06,7,192,NA,NA,NA,1,NA,0,0,0,98.96,98.96,98.96,98.96,98.96,98.96,98.96,98.96,98.96,0
02455,Malzy,32,02,100.97,3,104,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
02456,Manicamp,32,02,172.22,6,178,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
02457,Marchais,32,02,187,7,221,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,88.69,89.59,94.12,94.12,0
02458,Dhuys et Morin-en-Brie,32,02,422.36,20,442,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
02459,Marcy,32,02,79,8,88,NA,FRTE (AMII),NA,1,NA,0,0,0,0,0,0,0,0,0,0,37.5,85.23,1
02460,Marcy-sous-Marle,32,02,104,4,111,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,100,100,103.6,0
02461,Marest-Dampcourt,32,02,156,10,174,NA,NA,NA,1,NA,0,98.28,98.85,98.85,98.85,100,100,100,100,100,100,101.72,0
