"","COM","n"
"400","02032",3
"401","02033",1
"402","02035",1
"403","02037",3
"404","02041",5
"405","02042",1
"406","02044",1
"407","02046",1
"408","02048",3
"409","02049",1
"410","02050",2
"411","02052",2
"412","02053",1
"413","02054",1
"414","02057",2
"415","02058",5
"416","02059",7
"417","02060",1
"418","02061",1
"419","02063",2
"420","02064",11
"421","02065",4
"422","02067",1
"423","02068",1
"424","02071",6
"425","02072",1
"426","02074",2
"427","02075",1
"428","02077",2
"429","02080",1
"430","02081",1
"431","02083",3
"432","02084",3
"433","02085",4
"434","02086",4
"435","02089",2
"436","02091",2
"437","02093",7
"438","02094",5
"439","02095",11
"440","02096",2
"441","02097",1
"442","02098",3
"443","02101",1
"444","02102",2
"445","02103",6
"446","02104",1
"447","02105",2
"448","02106",8
"449","02107",1
"450","02109",2
"451","02110",9
"452","02111",4
"453","02112",4
"454","02114",8
"455","02116",1
"456","02117",1
"457","02118",1
"458","02119",2
"459","02121",3
"460","02123",2
"461","02124",1
"462","02125",1
"463","02126",1
"464","02127",1
"465","02128",9
"466","02131",5
"467","02133",2
"468","02134",2
"469","02135",7
"470","02137",1
"471","02138",1
"472","02139",2
"473","02140",2
"474","02141",6
"475","02142",1
"476","02143",1
"477","02145",3
"478","02146",1
"479","02148",2
"480","02153",3
"481","02154",3
"482","02155",1
"483","02156",1
"484","02157",4
"485","02158",1
"486","02159",1
"487","02160",1
"488","02162",2
"489","02163",16
"490","02164",3
"491","02165",7
"492","02166",1
"493","02167",5
"494","02168",85
"495","02170",1
"496","02171",1
"497","02172",2
"498","02173",56
"499","02174",6
"500","02175",1
"501","02180",2
"502","02184",3
"503","02185",2
"504","02186",6
"505","02187",4
"506","02188",1
"507","02190",4
"508","02191",1
"509","02192",2
"510","02194",1
"511","02195",1
"512","02197",3
"513","02199",1
"514","02201",1
"515","02203",9
"516","02207",2
"517","02209",6
"518","02210",3
"519","02211",3
"520","02213",2
"521","02215",5
"522","02216",1
"523","02217",3
"524","02218",4
"525","02219",2
"526","02220",2
"527","02221",1
"528","02223",4
"529","02226",9
"530","02228",9
"531","02230",1
"532","02231",3
"533","02232",1
"534","02233",1
"535","02236",1
"536","02237",3
"537","02238",6
"538","02239",6
"539","02240",1
"540","02242",4
"541","02243",8
"542","02245",5
"543","02246",2
"544","02248",1
"545","02253",3
"546","02256",2
"547","02258",3
"548","02260",3
"549","02264",3
"550","02267",2
"551","02268",2
"552","02269",1
"553","02271",3
"554","02273",1
"555","02274",1
"556","02275",1
"557","02276",1
"558","02277",1
"559","02279",5
"560","02280",3
"561","02281",2
"562","02282",1
"563","02286",3
"564","02288",1
"565","02289",1
"566","02290",12
"567","02292",9
"568","02293",3
"569","02294",1
"570","02295",4
"571","02296",9
"572","02298",3
"573","02299",1
"574","02301",1
"575","02302",1
"576","02303",5
"577","02304",19
"578","02305",15
"579","02306",1
"580","02307",9
"581","02308",2
"582","02309",2
"583","02312",5
"584","02315",2
"585","02318",5
"586","02319",2
"587","02320",1
"588","02321",2
"589","02328",1
"590","02329",2
"591","02330",3
"592","02332",1
"593","02333",3
"594","02334",6
"595","02335",1
"596","02336",3
"597","02339",1
"598","02340",18
"599","02341",1
"600","02342",1
"601","02347",3
"602","02351",2
"603","02352",3
"604","02353",4
"605","02354",1
"606","02355",1
"607","02356",1
"608","02359",1
"609","02360",10
"610","02361",15
"611","02363",2
"612","02364",2
"613","02368",1
"614","02370",1
"615","02371",6
"616","02372",2
"617","02374",4
"618","02375",2
"619","02376",3
"620","02378",3
"621","02379",2
"622","02381",22
"623","02382",5
"624","02383",8
"625","02384",1
"626","02385",1
"627","02386",1
"628","02387",7
"629","02388",2
"630","02389",9
"631","02391",1
"632","02393",1
"633","02395",1
"634","02396",1
"635","02397",3
"636","02398",1
"637","02399",5
"638","02401",2
"639","02403",3
"640","02405",2
"641","02408",88
"642","02410",2
"643","02411",1
"644","02414",2
"645","02415",1
"646","02416",2
"647","02417",1
"648","02418",1
"649","02419",1
"650","02420",2
"651","02422",4
"652","02424",1
"653","02426",1
"654","02428",1
"655","02430",3
"656","02431",2
"657","02432",1
"658","02433",1
"659","02434",2
"660","02438",1
"661","02439",8
"662","02440",1
"663","02443",1
"664","02445",1
"665","02446",1
"666","02450",2
"667","02452",1
"668","02453",4
"669","02454",3
"670","02456",2
"671","02457",1
"672","02458",6
"673","02459",1
"674","02460",1
"675","02461",3
"676","02462",2
"677","02463",1
"678","02464",2
"679","02465",4
"680","02466",1
"681","02468",7
"682","02469",2
"683","02470",2
"684","02472",3
"685","02473",3
"686","02474",2
"687","02475",2
"688","02476",5
"689","02477",7
"690","02478",1
"691","02480",1
"692","02481",1
"693","02483",1
"694","02485",1
"695","02486",2
"696","02487",2
"697","02489",1
"698","02492",2
"699","02493",2
"700","02494",2
"701","02495",4
"702","02496",1
"703","02497",6
"704","02498",7
"705","02500",3
"706","02501",1
"707","02502",1
"708","02503",3
"709","02504",5
"710","02505",2
"711","02506",1
"712","02508",2
"713","02509",2
"714","02511",2
"715","02514",4
"716","02517",3
"717","02518",6
"718","02520",3
"719","02521",11
"720","02522",1
"721","02524",5
"722","02525",3
"723","02528",3
"724","02532",4
"725","02534",1
"726","02537",1
"727","02539",1
"728","02540",4
"729","02541",3
"730","02543",9
"731","02544",2
"732","02545",1
"733","02546",1
"734","02548",1
"735","02549",8
"736","02550",1
"737","02551",1
"738","02552",1
"739","02553",1
"740","02554",6
"741","02555",16
"742","02558",13
"743","02559",3
"744","02561",1
"745","02563",1
"746","02564",7
"747","02565",2
"748","02566",2
"749","02570",1
"750","02571",3
"751","02572",3
"752","02574",6
"753","02575",10
"754","02577",2
"755","02580",3
"756","02581",2
"757","02582",1
"758","02587",1
"759","02589",4
"760","02590",1
"761","02592",1
"762","02593",8
"763","02596",7
"764","02598",5
"765","02600",4
"766","02601",1
"767","02602",6
"768","02610",1
"769","02613",5
"770","02616",1
"771","02618",4
"772","02620",3
"773","02624",1
"774","02626",6
"775","02628",1
"776","02629",1
"777","02632",1
"778","02633",2
"779","02634",1
"780","02635",1
"781","02636",1
"782","02637",2
"783","02638",2
"784","02639",1
"785","02640",1
"786","02641",1
"787","02642",1
"788","02643",4
"789","02644",2
"790","02645",2
"791","02648",11
"792","02649",1
"793","02652",1
"794","02653",6
"795","02654",1
"796","02655",1
"797","02656",3
"798","02657",2
"799","02659",3
"800","02661",2
"801","02662",1
"802","02664",4
"803","02665",3
"804","02668",5
"805","02671",4
"806","02672",2
"807","02673",3
"808","02674",2
"809","02676",8
"810","02680",10
"811","02681",1
"812","02684",11
"813","02687",1
"814","02689",1
"815","02691",187
"816","02693",2
"817","02694",4
"818","02695",1
"819","02696",1
"820","02697",2
"821","02699",1
"822","02701",3
"823","02702",1
"824","02703",3
"825","02704",3
"826","02706",4
"827","02707",1
"828","02708",1
"829","02709",1
"830","02710",2
"831","02711",2
"832","02713",1
"833","02714",2
"834","02715",1
"835","02716",3
"836","02717",3
"837","02718",1
"838","02719",10
"839","02720",10
"840","02721",2
"841","02722",130
"842","02723",1
"843","02725",2
"844","02727",1
"845","02729",2
"846","02730",2
"847","02731",1
"848","02733",2
"849","02734",1
"850","02735",1
"851","02736",1
"852","02737",1
"853","02738",44
"854","02739",6
"855","02740",3
"856","02741",1
"857","02742",1
"858","02743",1
"859","02746",1
"860","02748",3
"861","02750",4
"862","02752",1
"863","02753",3
"864","02755",4
"865","02756",1
"866","02757",3
"867","02758",13
"868","02763",2
"869","02764",1
"870","02765",1
"871","02766",2
"872","02767",2
"873","02768",4
"874","02769",2
"875","02770",8
"876","02772",1
